id,date,time,st,county,counties,mag,inj,fat,slat,slon,elat,elon,len,wid,property_damage,crop_damage,remarks,source,outbreak_id,outbreak_name
2011-AL-001,2011-04-27,15:05,AL,Tuscaloosa,"Tuscaloosa; Jefferson",EF4,1500,64,33.05,-87.74,33.52,-86.75,80.68,2600,2200000000,0,"Long-track violent tornado during the 2011 Super Outbreak.",NOAA sample,2011-04-27-super-outbreak,"April 27, 2011 Super Outbreak"
2011-MS-001,2011-04-27,14:42,MS,Smith,"Smith; Jasper",EF5,137,7,32.05,-89.54,32.35,-88.88,29.0,1320,80000000,1200000,"Violent tornado associated with the same regional outbreak.",NOAA sample,2011-04-27-super-outbreak,"April 27, 2011 Super Outbreak"
2013-OK-001,2013-05-20,14:56,OK,Cleveland,Cleveland,EF5,212,24,35.28,-97.63,35.34,-97.17,14.0,1900,2000000000,0,"Moore tornado with severe residential and school damage.",SPC sample,2013-05-20-moore,"May 20, 2013 Moore Tornado"
2007-KS-001,2007-05-04,21:00,KS,Kiowa,Kiowa,EF5,63,11,37.46,-99.83,37.61,-99.36,28.8,2200,250000000,3000000,"Greensburg tornado produced catastrophic damage.",SPC sample,2007-05-04-greensburg,"Greensburg Tornado"
1999-OK-001,1999-05-03,18:23,OK,Grady,"Grady; McClain; Cleveland",F5,583,36,35.13,-98.00,35.47,-97.17,38.0,1760,1000000000,0,"Bridge Creek-Moore tornado from the May 3 outbreak.",NOAA sample,1999-05-03-oklahoma,"May 3, 1999 Oklahoma Outbreak"
2020-TN-001,2020-03-03,00:32,TN,Davidson,"Davidson; Wilson",EF3,220,25,36.17,-86.93,36.24,-86.27,60.1,1600,1500000000,0,"Nocturnal tornado crossed the Nashville metro area.",NOAA sample,2020-03-03-tennessee,"March 2020 Tennessee Outbreak"
2021-IL-001,2021-12-10,20:27,IL,Madison,Madison,EF3,22,6,38.74,-90.08,38.82,-89.74,24.1,300,500000000,0,"Tornado impacted warehouse and nearby communities.",NOAA sample,2021-12-10-midwest,"December 2021 Midwest Outbreak"
2022-KY-001,2021-12-10,21:00,KY,Graves,"Graves; Marshall; Lyon; Caldwell; Hopkins",EF4,515,57,36.82,-88.73,37.65,-87.10,165.7,1900,3900000000,10000000,"Long-track western Kentucky tornado.",NOAA sample,2021-12-10-midwest,"December 2021 Midwest Outbreak"
2019-OH-001,2019-05-27,22:41,OH,Montgomery,Montgomery,EF4,166,0,39.80,-84.43,39.84,-84.05,20.0,1100,500000000,0,"Dayton-area tornado with significant damage but no direct fatalities.",NOAA sample,2019-05-27-dayton,"Memorial Day 2019 Outbreak"
2016-FL-001,2016-02-23,15:35,FL,Escambia,Escambia,EF3,4,0,30.55,-87.28,30.64,-87.16,8.5,300,22000000,0,"Pensacola-area tornado.",NOAA sample,2016-02-23-gulf-coast,"February 2016 Gulf Coast Outbreak"
1985-PA-001,1985-05-31,17:25,PA,Crawford,"Crawford; Erie",F4,125,18,41.63,-80.25,41.90,-79.70,35.0,880,60000000,500000,"Northwest Pennsylvania violent tornado.",NOAA sample,1985-05-31-us-canada,"1985 United States-Canada Outbreak"
2024-IA-001,2024-05-21,15:45,IA,Adair,Adair,EF4,35,5,41.29,-94.55,41.42,-94.20,15.5,1000,31000000,1000000,"Sample recent Greenfield-area tornado record for local development.",Local sample,2024-05-21-iowa,"May 2024 Iowa Outbreak"
2024-NE-001,2024-04-26,15:12,NE,Douglas,Douglas,EF3,4,0,41.25,-96.32,41.32,-95.95,31.2,750,50000000,0,"Elkhorn-area tornado sample record.",Local sample,2024-04-26-plains,"April 2024 Plains Outbreak"
2023-CO-001,2023-06-22,15:45,CO,Logan,Logan,EF0,0,0,40.72,-103.07,,,1.2,50,10000,0,"Brief landspout-style tornado with point-only location.",Local sample,,
2023-TX-001,2023-06-15,18:10,TX,Perryton,Ochiltree,EF3,100,3,36.40,-100.80,36.45,-100.70,6.4,880,100000000,0,"Perryton tornado sample record.",NOAA sample,2023-06-15-texas-panhandle,"June 2023 Texas Panhandle Outbreak"
2022-MI-001,2022-05-20,15:48,MI,Otsego,Otsego,EF3,44,2,45.02,-84.75,45.08,-84.56,16.6,200,50000000,0,"Gaylord tornado sample record.",NOAA sample,2022-05-20-gaylord,"May 2022 Northern Michigan Outbreak"
